% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.273	1	1	28	4	1	0	85	0
0.587	1	1	59	8	1	0	85	0
0.43	1	1	44	1	1	0	85	0
0.588	1	1	59	9	1	0	85	0
0.431	1	1	44	2	1	0	85	0
0.589	1	1	59	10	1	0	85	0
0.432	1	1	44	3	1	0	85	0
0.59	1	1	60	1	1	0	85	0
0.433	1	1	44	4	1	0	85	0
0.591	1	1	60	2	1	0	85	0
0.434	1	1	44	5	1	0	85	0
0.592	1	1	60	3	1	0	85	0
0.435	1	1	44	6	1	0	85	0
0.593	1	1	60	4	1	0	85	0
0.436	1	1	44	7	1	0	85	0
0.594	1	1	60	5	1	0	85	0
0.437	1	1	44	8	1	0	85	0
0.595	1	1	60	6	1	0	85	0
0.438	1	1	44	9	1	0	85	0
0.596	1	1	60	7	1	0	85	0
0.439	1	1	44	10	1	0	85	0
0.597	1	1	60	8	1	0	85	0
0.44	1	1	45	1	1	0	85	0
0.598	1	1	60	9	1	0	85	0
0.441	1	1	45	2	1	0	85	0
0.289	1	1	29	10	1	0	85	0
0.599	1	1	60	10	1	0	85	0
0.29	1	1	30	1	1	0	85	0
0.442	1	1	45	3	1	0	85	0
0.6	1	1	61	1	1	0	85	0
0.291	1	1	30	2	1	0	85	0
0.443	1	1	45	4	1	0	85	0
0.292	1	1	30	3	1	0	85	0
0.444	1	1	45	5	1	0	85	0
0.601	1	1	61	2	1	0	85	0
0.293	1	1	30	4	1	0	85	0
0.445	1	1	45	6	1	0	85	0
0.294	1	1	30	5	1	0	85	0
0.446	1	1	45	7	1	0	85	0
0.295	1	1	30	6	1	0	85	0
0.447	1	1	45	8	1	0	85	0
0.602	1	1	61	3	1	0	85	0
0.296	1	1	30	7	1	0	85	0
0.448	1	1	45	9	1	0	85	0
0.297	1	1	30	8	1	0	85	0
0.449	1	1	45	10	1	0	85	0
0.298	1	1	30	9	1	0	85	0
0.45	1	1	46	1	1	0	85	0
0.603	1	1	61	4	1	0	85	0
0.299	1	1	30	10	1	0	85	0
0.451	1	1	46	2	1	0	85	0
0.604	1	1	61	5	1	0	85	0
0.3	1	1	31	1	1	0	85	0
0.452	1	1	46	3	1	0	85	0
0.605	1	1	61	6	1	0	85	0
0.301	1	1	31	2	1	0	85	0
0.453	1	1	46	4	1	0	85	0
0.606	1	1	61	7	1	0	85	0
0.302	1	1	31	3	1	0	85	0
0.454	1	1	46	5	1	0	85	0
0.607	1	1	61	8	1	0	85	0
0.303	1	1	31	4	1	0	85	0
0.455	1	1	46	6	1	0	85	0
0.608	1	1	61	9	1	0	85	0
0.456	1	1	46	7	1	0	85	0
0.304	1	1	31	5	1	0	85	0
0.609	1	1	61	10	1	0	85	0
0.457	1	1	46	8	1	0	85	0
0.305	1	1	31	6	1	0	85	0
0.61	1	1	62	1	1	0	85	0
0.458	1	1	46	9	1	0	85	0
0.306	1	1	31	7	1	0	85	0
0.611	1	1	62	2	1	0	85	0
0.459	1	1	46	10	1	0	85	0
0.307	1	1	31	8	1	0	85	0
0.612	1	1	62	3	1	0	85	0
0.46	1	1	47	1	1	0	85	0
0.308	1	1	31	9	1	0	85	0
0.461	1	1	47	2	1	0	85	0
0.613	1	1	62	4	1	0	85	0
0.309	1	1	31	10	1	0	85	0
0.462	1	1	47	3	1	0	85	0
0.614	1	1	62	5	1	0	85	0
0.31	1	1	32	1	1	0	85	0
0.463	1	1	47	4	1	0	85	0
0.615	1	1	62	6	1	0	85	0
0.311	1	1	32	2	1	0	85	0
0.464	1	1	47	5	1	0	85	0
0.616	1	1	62	7	1	0	85	0
0.312	1	1	32	3	1	0	85	0
0.465	1	1	47	6	1	0	85	0
0.617	1	1	62	8	1	0	85	0
0.313	1	1	32	4	1	0	85	0
0.618	1	1	62	9	1	0	85	0
0.466	1	1	47	7	1	0	85	0
0.314	1	1	32	5	1	0	85	0
0.467	1	1	47	8	1	0	85	0
0.619	1	1	62	10	1	0	85	0
0.315	1	1	32	6	1	0	85	0
