% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.021	1	7	3	2	1	0	81	0	0	0
0.021	1	7	3	2	1	0	81	0	0	1
0.022	1	8	3	3	2	0	81	0	0	0
0.022	1	8	3	3	2	0	81	0	0	1
0.023	1	13	3	4	3	0	81	0	0	0
0.023	1	13	3	4	3	0	81	0	0	1
0.024	1	5	3	5	4	0	81	0	0	0
0.024	1	5	3	5	4	0	81	0	0	1
0.025	1	7	3	6	1	0	81	0	0	0
0.025	1	7	3	6	1	0	81	0	0	1
0.026	1	11	3	7	9	0	81	0	0	0
0.026	1	11	3	7	9	0	81	0	0	1
0.027	1	3	3	8	10	0	81	0	0	0
0.027	1	3	3	8	10	0	81	0	0	1
0.028	1	2	3	9	11	0	81	0	0	0
0.028	1	2	3	9	11	0	81	0	0	1
0.029	1	6	3	10	12	0	81	0	0	0
0.029	1	6	3	10	12	0	81	0	0	1
0.03	1	8	4	1	2	8	421	0	0	0
0.03	1	8	4	1	2	8	421	0	0	1
0.031	1	13	4	2	3	8	421	0	0	0
0.031	1	13	4	2	3	8	421	0	0	1
0.032	1	15	4	3	18	0	81	0	0	0
0.032	1	15	4	3	18	0	81	0	0	1
0.033	1	14	4	4	19	0	81	0	0	0
0.033	1	14	4	4	19	0	81	0	0	1
0.034	1	12	4	5	20	0	81	0	0	0
0.034	1	12	4	5	20	0	81	0	0	1
0.035	1	9	4	6	21	0	81	0	0	0
0.035	1	9	4	6	21	0	81	0	0	1
0.036	1	5	4	7	4	8	421	0	0	0
0.036	1	5	4	7	4	8	421	0	0	1
0.037	1	11	4	8	9	8	421	0	0	0
0.037	1	11	4	8	9	8	421	0	0	1
0.038	1	4	4	9	22	0	81	0	0	0
0.038	1	4	4	9	22	0	81	0	0	1
0.039	1	10	4	10	23	0	81	0	0	0
0.039	1	10	4	10	23	0	81	0	0	1
0.04	1	1	5	1	24	0	81	0	0	0
0.04	1	1	5	1	24	0	81	0	0	1
0.041	1	3	5	2	10	8	421	0	0	0
0.041	1	3	5	2	10	8	421	0	0	1
0.042	1	2	5	3	11	8	421	0	0	0
0.042	1	2	5	3	11	8	421	0	0	1
0.043	1	6	5	4	12	8	421	0	0	0
