% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.026	1	7	3	7	1	0	19	0
0.026	1	8	3	7	2	0	19	0
0.026	1	13	3	7	3	0	19	0
0.026	1	5	3	7	4	0	19	0
0.026	1	7	3	7	1	0	19	1
0.026	1	8	3	7	2	0	19	1
0.026	1	13	3	7	3	0	19	1
0.026	1	5	3	7	4	0	19	1
0.027	1	7	3	8	1	0	19	0
0.027	1	8	3	8	2	0	19	0
0.027	1	13	3	8	3	0	19	0
0.027	1	5	3	8	4	0	19	0
0.027	1	7	3	8	1	0	19	1
0.027	1	8	3	8	2	0	19	1
0.027	1	13	3	8	3	0	19	1
0.027	1	5	3	8	4	0	19	1
0.028	1	7	3	9	1	0	19	0
0.028	1	8	3	9	2	0	19	0
0.028	1	13	3	9	3	0	19	0
0.028	1	5	3	9	4	0	19	0
0.028	1	7	3	9	1	0	19	1
0.028	1	8	3	9	2	0	19	1
0.028	1	13	3	9	3	0	19	1
0.028	1	5	3	9	4	0	19	1
0.029	1	7	3	10	1	0	19	1
0.029	1	8	3	10	2	0	19	1
0.029	1	13	3	10	3	0	19	1
0.029	1	5	3	10	4	0	19	1
0.03	1	7	4	1	1	0	19	0
0.03	1	8	4	1	2	0	19	0
0.03	1	13	4	1	3	0	19	0
0.03	1	5	4	1	4	0	19	0
0.03	1	7	4	1	1	0	19	1
0.03	1	8	4	1	2	0	19	1
0.03	1	13	4	1	3	0	19	1
0.03	1	5	4	1	4	0	19	1
0.031	1	7	4	2	1	0	7	0
0.031	1	8	4	2	2	0	7	0
0.031	1	13	4	2	3	0	7	0
0.031	1	5	4	2	4	0	7	0
0.031	1	11	4	2	9	0	7	0
0.031	1	3	4	2	10	0	7	0
0.031	1	2	4	2	11	0	7	0
0.031	1	6	4	2	12	0	7	0
0.031	1	7	4	2	1	0	7	1
0.031	1	8	4	2	2	0	7	1
0.031	1	13	4	2	3	0	7	1
0.031	1	5	4	2	4	0	7	1
0.031	1	11	4	2	9	0	7	1
0.031	1	3	4	2	10	0	7	1
0.031	1	2	4	2	11	0	7	1
0.031	1	6	4	2	12	0	7	1
0.032	1	7	4	3	1	0	7	0
0.032	1	8	4	3	2	0	7	0
0.032	1	13	4	3	3	0	7	0
0.032	1	5	4	3	4	0	7	0
0.032	1	11	4	3	9	0	7	0
0.032	1	3	4	3	10	0	7	0
0.032	1	2	4	3	11	0	7	0
0.032	1	6	4	3	12	0	7	0
0.032	1	7	4	3	1	0	7	1
0.032	1	8	4	3	2	0	7	1
0.032	1	13	4	3	3	0	7	1
0.032	1	5	4	3	4	0	7	1
0.032	1	11	4	3	9	0	7	1
0.032	1	3	4	3	10	0	7	1
0.032	1	2	4	3	11	0	7	1
0.032	1	6	4	3	12	0	7	1
0.033	1	7	4	4	1	0	7	0
0.033	1	8	4	4	2	0	7	0
0.033	1	13	4	4	3	0	7	0
0.033	1	5	4	4	4	0	7	0
0.033	1	11	4	4	9	0	7	0
0.033	1	3	4	4	10	0	7	0
0.033	1	2	4	4	11	0	7	0
0.033	1	6	4	4	12	0	7	0
0.033	1	7	4	4	1	0	7	1
0.033	1	8	4	4	2	0	7	1
0.033	1	13	4	4	3	0	7	1
0.033	1	5	4	4	4	0	7	1
0.033	1	11	4	4	9	0	7	1
0.033	1	3	4	4	10	0	7	1
0.033	1	2	4	4	11	0	7	1
0.033	1	6	4	4	12	0	7	1
0.034	1	7	4	5	1	0	7	0
0.034	1	8	4	5	2	0	7	0
0.034	1	13	4	5	3	0	7	0
0.034	1	5	4	5	4	0	7	0
0.034	1	11	4	5	9	0	7	0
0.034	1	3	4	5	10	0	7	0
0.034	1	2	4	5	11	0	7	0
0.034	1	6	4	5	12	0	7	0
0.034	1	7	4	5	1	0	7	1
0.034	1	8	4	5	2	0	7	1
0.034	1	13	4	5	3	0	7	1
0.034	1	5	4	5	4	0	7	1
0.034	1	11	4	5	9	0	7	1
0.034	1	3	4	5	10	0	7	1
0.034	1	2	4	5	11	0	7	1
0.034	1	6	4	5	12	0	7	1
0.035	1	7	4	6	1	0	7	0
0.035	1	8	4	6	2	0	7	0
0.035	1	7	4	6	1	0	7	1
0.035	1	8	4	6	2	0	7	1
0.035	1	13	4	6	3	0	7	1
0.035	1	5	4	6	4	0	7	1
0.035	1	11	4	6	9	0	7	1
0.035	1	3	4	6	10	0	7	1
0.035	1	2	4	6	11	0	7	1
0.035	1	6	4	6	12	0	7	1
0.036	1	13	4	7	3	0	7	0
0.036	1	5	4	7	4	0	7	0
