% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	7	1	1.34721	0
0.041	2	7	1	1.34012	1
0.042	1	8	2	1.34721	0
0.042	2	8	2	1.34012	1
0.043	1	13	3	1.34721	0
0.043	2	13	3	1.34012	1
0.044	1	5	4	1.34721	0
0.044	2	5	4	1.34012	1
0.049	1	11	9	1.34721	0
0.049	2	11	9	1.34012	1
0.05	1	3	10	1.34721	0
0.05	2	3	10	1.34012	1
0.051	1	2	11	1.34721	0
0.051	2	2	11	1.34012	1
0.052	1	6	12	1.34721	0
0.052	2	6	12	1.34012	1
0.058	1	15	18	1.34721	0
0.058	2	15	18	1.34012	1
0.059	1	14	19	1.34721	0
0.059	2	14	19	1.34012	1
0.06	1	12	20	1.34721	0
0.06	2	12	20	1.34012	1
0.061	1	9	21	1.34721	0
0.061	2	9	21	1.34012	1
0.062	1	4	22	1.34721	0
0.062	2	4	22	1.34012	1
0.063	1	10	23	1.34721	0
0.063	2	10	23	1.34012	1
0.064	1	1	24	1.34721	0
0.064	2	1	24	1.34012	1
0.081	1	7	1	1.34721	0
0.081	2	7	1	1.34012	1
0.082	1	8	2	1.34721	0
0.082	2	8	2	1.34012	1
0.083	1	13	3	1.34721	0
0.083	2	13	3	1.34012	1
0.084	1	5	4	1.34721	0
0.084	2	5	4	1.34012	1
0.089	1	11	9	1.34721	0
0.089	2	11	9	1.34012	1
0.09	1	3	10	1.34721	0
0.09	2	3	10	1.34012	1
0.091	1	2	11	1.34721	0
0.091	2	2	11	1.34012	1
0.092	1	6	12	1.34721	0
0.092	2	6	12	1.34012	1
0.098	1	15	18	1.34721	0
0.098	2	15	18	1.34012	1
0.099	1	14	19	1.34721	0
0.099	2	14	19	1.34012	1
0.1	1	12	20	1.34721	0
0.1	2	12	20	1.34012	1
0.101	1	9	21	1.34721	0
0.101	2	9	21	1.34012	1
0.102	1	4	22	1.34721	0
0.102	2	4	22	1.34012	1
0.103	1	10	23	1.34721	0
0.103	2	10	23	1.34012	1
0.104	1	1	24	1.34721	0
0.104	2	1	24	1.34012	1
0.121	1	7	1	1.34721	0
0.121	2	7	1	1.34012	1
0.122	1	8	2	1.34721	0
0.122	2	8	2	1.34012	1
0.123	1	13	3	1.34721	0
0.123	2	13	3	1.34012	1
0.124	1	5	4	1.34721	0
0.124	2	5	4	1.34012	1
0.129	1	11	9	1.34721	0
0.129	2	11	9	1.34012	1
0.13	1	3	10	1.34721	0
0.13	2	3	10	1.34012	1
0.131	1	2	11	1.34721	0
0.131	2	2	11	1.34012	1
0.132	1	6	12	1.34721	0
0.132	2	6	12	1.34012	1
0.138	1	15	18	1.34721	0
0.138	2	15	18	1.34012	1
0.139	1	14	19	1.34721	0
0.139	2	14	19	1.34012	1
0.14	1	12	20	1.34721	0
0.14	2	12	20	1.34012	1
0.141	1	9	21	1.34721	0
0.141	2	9	21	1.34012	1
0.142	1	4	22	1.34721	0
0.142	2	4	22	1.34012	1
0.143	1	10	23	1.34721	0
0.143	2	10	23	1.34012	1
0.144	1	1	24	1.34721	0
0.144	2	1	24	1.34012	1
0.161	1	7	1	1.34721	0
0.161	2	7	1	1.34012	1
0.162	1	8	2	1.34721	0
0.162	2	8	2	1.34012	1
0.163	1	13	3	1.34721	0
0.163	2	13	3	1.34012	1
0.164	1	5	4	1.34721	0
0.164	2	5	4	1.34012	1
0.169	1	11	9	1.34721	0
0.169	2	11	9	1.34012	1
0.17	1	3	10	1.34721	0
0.17	2	3	10	1.34012	1
0.171	1	2	11	1.34721	0
0.171	2	2	11	1.34012	1
0.172	1	6	12	1.34721	0
0.172	2	6	12	1.34012	1
0.178	1	15	18	1.34721	0
0.178	2	15	18	1.34012	1
0.179	1	14	19	1.34721	0
0.179	2	14	19	1.34012	1
0.18	1	12	20	1.34721	0
0.18	2	12	20	1.34012	1
0.181	1	9	21	1.34721	0
0.181	2	9	21	1.34012	1
0.182	1	4	22	1.34721	0
0.182	2	4	22	1.34012	1
0.183	1	10	23	1.34721	0
0.183	2	10	23	1.34012	1
0.184	1	1	24	1.34721	0
0.184	2	1	24	1.34012	1
0.201	1	7	1	1.34721	0
0.201	2	7	1	1.34012	1
0.202	1	8	2	1.34721	0
0.202	2	8	2	1.34012	1
0.203	1	13	3	1.34721	0
0.203	2	13	3	1.34012	1
0.204	1	5	4	1.34721	0
0.204	2	5	4	1.34012	1
0.209	1	11	9	1.34721	0
0.209	2	11	9	1.34012	1
0.21	1	3	10	1.34721	0
0.21	2	3	10	1.34012	1
0.211	1	2	11	1.34721	0
0.211	2	2	11	1.34012	1
0.212	1	6	12	1.34721	0
0.212	2	6	12	1.34012	1
0.218	1	15	18	1.34721	0
0.218	2	15	18	1.34012	1
0.219	1	14	19	1.34721	0
0.219	2	14	19	1.34012	1
0.22	1	12	20	1.34721	0
0.22	2	12	20	1.34012	1
0.221	1	9	21	1.34721	0
0.221	2	9	21	1.34012	1
0.222	1	4	22	1.34721	0
0.222	2	4	22	1.34012	1
0.223	1	10	23	1.34721	0
0.223	2	10	23	1.34012	1
0.224	1	1	24	1.34721	0
