% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
32	1	5	4	0	0	19	0	1	0
32	1	7	1	0	0	19	0	1	0
32	1	8	2	0	0	19	0	1	0
32	1	13	3	0	0	19	0	1	0
32	2	5	4	0	0	19	0	1	1
32	2	7	1	0	0	19	0	1	1
32	2	8	2	0	0	19	0	1	1
32	2	13	3	0	0	19	0	1	1
33	1	5	4	0	0	19	0	1	0
33	1	7	1	0	0	19	0	1	0
33	1	8	2	0	0	19	0	1	0
33	1	13	3	0	0	19	0	1	0
33	2	5	4	0	0	19	0	1	1
33	2	7	1	0	0	19	0	1	1
33	2	8	2	0	0	19	0	1	1
33	2	13	3	0	0	19	0	1	1
34	1	5	4	0	0	19	0	1	0
34	1	7	1	0	0	19	0	1	0
34	1	8	2	0	0	19	0	1	0
34	1	13	3	0	0	19	0	1	0
34	2	5	4	0	0	19	0	1	1
34	2	7	1	0	0	19	0	1	1
34	2	8	2	0	0	19	0	1	1
34	2	13	3	0	0	19	0	1	1
35	2	5	4	0	0	19	0	1	1
35	2	7	1	0	0	19	0	1	1
35	2	8	2	0	0	19	0	1	1
35	2	13	3	0	0	19	0	1	1
36	1	5	4	0	0	19	0	1	0
36	1	7	1	0	0	19	0	1	0
36	1	8	2	0	0	19	0	1	0
36	1	13	3	0	0	19	0	1	0
36	2	5	4	0	0	19	0	1	1
36	2	7	1	0	0	19	0	1	1
36	2	8	2	0	0	19	0	1	1
36	2	13	3	0	0	19	0	1	1
37	1	2	11	0	0	7	0	1	0
37	1	3	10	0	0	7	0	1	0
37	1	5	4	0	0	7	0	1	0
37	1	6	12	0	0	7	0	1	0
37	1	7	1	0	0	7	0	1	0
37	1	8	2	0	0	7	0	1	0
37	1	11	9	0	0	7	0	1	0
37	1	13	3	0	0	7	0	1	0
37	2	5	4	0	0	7	0	1	1
37	2	7	1	0	0	7	0	1	1
37	2	8	2	0	0	7	0	1	1
37	2	13	3	0	0	7	0	1	1
37	2	2	11	0	0	7	0	1	1
37	2	3	10	0	0	7	0	1	1
37	2	6	12	0	0	7	0	1	1
37	2	11	9	0	0	7	0	1	1
38	1	2	11	0	0	7	0	1	0
38	1	3	10	0	0	7	0	1	0
38	1	5	4	0	0	7	0	1	0
38	1	6	12	0	0	7	0	1	0
38	1	7	1	0	0	7	0	1	0
38	1	8	2	0	0	7	0	1	0
38	1	11	9	0	0	7	0	1	0
38	1	13	3	0	0	7	0	1	0
38	2	5	4	0	0	7	0	1	1
38	2	7	1	0	0	7	0	1	1
38	2	8	2	0	0	7	0	1	1
38	2	13	3	0	0	7	0	1	1
38	2	2	11	0	0	7	0	1	1
38	2	3	10	0	0	7	0	1	1
38	2	6	12	0	0	7	0	1	1
38	2	11	9	0	0	7	0	1	1
39	1	2	11	0	0	7	0	1	0
39	1	3	10	0	0	7	0	1	0
39	1	5	4	0	0	7	0	1	0
39	1	6	12	0	0	7	0	1	0
39	1	7	1	0	0	7	0	1	0
39	1	8	2	0	0	7	0	1	0
39	1	11	9	0	0	7	0	1	0
39	1	13	3	0	0	7	0	1	0
39	2	5	4	0	0	7	0	1	1
39	2	7	1	0	0	7	0	1	1
39	2	8	2	0	0	7	0	1	1
39	2	13	3	0	0	7	0	1	1
39	2	2	11	0	0	7	0	1	1
39	2	3	10	0	0	7	0	1	1
39	2	6	12	0	0	7	0	1	1
39	2	11	9	0	0	7	0	1	1
40	1	2	11	0	0	7	0	1	0
40	1	3	10	0	0	7	0	1	0
40	1	5	4	0	0	7	0	1	0
40	1	6	12	0	0	7	0	1	0
40	1	7	1	0	0	7	0	1	0
40	1	8	2	0	0	7	0	1	0
40	1	11	9	0	0	7	0	1	0
40	1	13	3	0	0	7	0	1	0
40	2	5	4	0	0	7	0	1	1
40	2	7	1	0	0	7	0	1	1
40	2	8	2	0	0	7	0	1	1
40	2	13	3	0	0	7	0	1	1
40	2	2	11	0	0	7	0	1	1
40	2	3	10	0	0	7	0	1	1
40	2	6	12	0	0	7	0	1	1
40	2	11	9	0	0	7	0	1	1
41	1	7	1	0	0	7	0	1	0
41	1	8	2	0	0	7	0	1	0
41	2	5	4	0	0	7	0	1	1
41	2	7	1	0	0	7	0	1	1
41	2	8	2	0	0	7	0	1	1
41	2	13	3	0	0	7	0	1	1
41	2	2	11	0	0	7	0	1	1
41	2	3	10	0	0	7	0	1	1
41	2	6	12	0	0	7	0	1	1
41	2	11	9	0	0	7	0	1	1
42	1	2	11	0	0	7	0	1	0
42	1	3	10	0	0	7	0	1	0
42	1	5	4	0	0	7	0	1	0
42	1	6	12	0	0	7	0	1	0
42	1	7	1	0	0	7	0	1	0
42	1	8	2	0	0	7	0	1	0
42	1	11	9	0	0	7	0	1	0
42	1	13	3	0	0	7	0	1	0
42	2	5	4	0	0	7	0	1	1
42	2	7	1	0	0	7	0	1	1
42	2	8	2	0	0	7	0	1	1
42	2	13	3	0	0	7	0	1	1
42	2	2	11	0	0	7	0	1	1
42	2	3	10	0	0	7	0	1	1
42	2	6	12	0	0	7	0	1	1
42	2	11	9	0	0	7	0	1	1
43	1	2	11	0	0	7	0	1	0
43	1	3	10	0	0	7	0	1	0
43	1	5	4	0	0	7	0	1	0
43	1	6	12	0	0	7	0	1	0
43	1	11	9	0	0	7	0	1	0
43	1	13	3	0	0	7	0	1	0
43	1	14	19	0	0	7	0	1	0
43	1	15	18	0	0	7	0	1	0
43	2	5	4	0	0	7	0	1	1
43	2	7	1	0	0	7	0	1	1
43	2	8	2	0	0	7	0	1	1
43	2	13	3	0	0	7	0	1	1
43	2	2	11	0	0	7	0	1	1
43	2	3	10	0	0	7	0	1	1
43	2	6	12	0	0	7	0	1	1
43	2	11	9	0	0	7	0	1	1
44	1	3	10	0	0	7	0	1	0
44	1	5	4	0	0	7	0	1	0
