% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.034	1	0	4	5	1	0	26	0
0.034	1	0	4	5	2	0	26	0
0.034	1	0	4	5	4	0	26	0
0.038	1	0	4	9	3	0	85	0
0.041	1	0	5	2	6	0	85	0
0.051	1	0	6	2	2	8	209	0
0.051	1	0	6	2	4	2	65	0
0.052	1	0	6	3	2	8	209	0
0.052	1	0	6	3	4	2	65	0
0.053	1	0	6	4	2	8	209	0
0.053	1	0	6	4	4	2	65	0
0.054	1	0	6	5	1	14	253	0
0.054	1	0	6	5	2	8	137	0
0.054	1	0	6	5	4	2	41	0
0.055	1	0	6	6	1	14	193	0
0.055	1	0	6	6	2	8	101	0
0.055	1	0	6	6	3	12	149	0
0.055	1	0	6	6	4	2	32	0
0.056	1	0	6	7	1	14	193	0
0.056	1	0	6	7	2	8	101	0
0.056	1	0	6	7	3	12	149	0
0.056	1	0	6	7	4	2	32	0
0.057	1	0	6	8	1	14	193	0
0.057	1	0	6	8	2	8	101	0
0.057	1	0	6	8	3	12	149	0
0.057	1	0	6	8	4	2	32	0
0.058	1	0	6	9	1	14	193	0
0.058	1	0	6	9	2	8	101	0
0.058	1	0	6	9	3	12	149	0
0.058	1	0	6	9	4	2	32	0
0.059	1	0	6	10	1	14	193	0
0.059	1	0	6	10	2	8	101	0
0.059	1	0	6	10	3	12	149	0
0.059	1	0	6	10	4	2	32	0
0.06	1	0	7	1	1	14	193	0
0.06	1	0	7	1	2	8	101	0
0.06	1	0	7	1	3	12	149	0
0.06	1	0	7	1	4	2	32	0
0.061	1	0	7	2	1	14	157	0
0.061	1	0	7	2	2	8	85	0
0.061	1	0	7	2	3	12	125	0
0.061	1	0	7	2	4	2	26	0
0.061	1	0	7	2	6	28	469	0
0.062	1	0	7	3	1	14	193	0
0.062	1	0	7	3	2	8	101	0
0.062	1	0	7	3	3	12	149	0
0.062	1	0	7	3	4	2	32	0
0.063	1	0	7	4	1	14	193	0
0.063	1	0	7	4	2	8	101	0
0.063	1	0	7	4	3	12	149	0
0.063	1	0	7	4	4	2	32	0
0.064	1	0	7	5	1	14	193	0
0.064	1	0	7	5	2	8	101	0
0.064	1	0	7	5	3	12	149	0
0.064	1	0	7	5	4	2	32	0
0.065	1	0	7	6	1	14	193	0
0.065	1	0	7	6	2	8	101	0
0.065	1	0	7	6	3	12	149	0
0.065	1	0	7	6	4	2	32	0
0.066	1	0	7	7	1	14	193	0
0.066	1	0	7	7	2	8	101	0
0.066	1	0	7	7	3	12	149	0
0.066	1	0	7	7	4	2	32	0
0.067	1	0	7	8	1	14	193	0
0.067	1	0	7	8	2	8	101	0
0.067	1	0	7	8	3	12	149	0
0.067	1	0	7	8	4	2	32	0
0.068	1	0	7	9	1	14	193	0
0.068	1	0	7	9	2	8	101	0
0.068	1	0	7	9	3	12	149	0
0.068	1	0	7	9	4	2	32	0
0.069	1	0	7	10	1	14	193	0
0.069	1	0	7	10	2	8	101	0
0.069	1	0	7	10	3	12	149	0
0.069	1	0	7	10	4	2	32	0
0.07	1	0	8	1	1	14	193	0
0.07	1	0	8	1	2	8	101	0
0.07	1	0	8	1	3	12	149	0
0.07	1	0	8	1	4	2	32	0
0.071	1	0	8	2	1	14	193	0
0.071	1	0	8	2	2	8	101	0
0.071	1	0	8	2	3	12	149	0
0.071	1	0	8	2	4	2	32	0
0.072	1	0	8	3	1	14	157	0
0.072	1	0	8	3	2	8	85	0
0.072	1	0	8	3	3	12	125	0
0.072	1	0	8	3	4	2	26	0
0.072	1	0	8	3	6	28	469	0
0.073	1	0	8	4	1	14	157	0
0.073	1	0	8	4	2	8	85	0
0.073	1	0	8	4	3	12	125	0
0.073	1	0	8	4	4	2	26	0
0.073	1	0	8	4	6	28	469	0
0.074	1	0	8	5	1	14	157	0
0.074	1	0	8	5	2	8	85	0
0.074	1	0	8	5	3	12	125	0
0.074	1	0	8	5	4	2	26	0
0.074	1	0	8	5	6	28	469	0
0.075	1	0	8	6	1	14	157	0
0.075	1	0	8	6	2	8	85	0
0.075	1	0	8	6	3	12	125	0
0.075	1	0	8	6	4	2	26	0
0.075	1	0	8	6	6	28	469	0
0.076	1	0	8	7	1	14	157	0
0.076	1	0	8	7	2	8	85	0
0.076	1	0	8	7	3	12	125	0
0.076	1	0	8	7	4	2	26	0
0.076	1	0	8	7	6	28	469	0
0.077	1	0	8	8	1	14	157	0
0.077	1	0	8	8	2	8	85	0
0.077	1	0	8	8	3	12	125	0
0.077	1	0	8	8	4	2	26	0
0.077	1	0	8	8	6	28	469	0
0.078	1	0	8	9	1	14	157	0
0.078	1	0	8	9	2	8	85	0
0.078	1	0	8	9	3	12	125	0
0.078	1	0	8	9	4	2	26	0
0.078	1	0	8	9	6	28	469	0
0.079	1	0	8	10	1	14	157	0
0.079	1	0	8	10	2	8	85	0
0.079	1	0	8	10	3	12	125	0
0.079	1	0	8	10	4	2	26	0
0.079	1	0	8	10	6	28	469	0
0.08	1	0	9	1	1	14	157	0
0.08	1	0	9	1	2	8	85	0
0.08	1	0	9	1	3	12	125	0
0.08	1	0	9	1	4	2	26	0
0.08	1	0	9	1	6	28	469	0
0.081	1	0	9	2	1	14	157	0
0.081	1	0	9	2	2	8	85	0
0.081	1	0	9	2	3	12	125	0
0.081	1	0	9	2	4	2	26	0
0.081	1	0	9	2	6	28	469	0
0.082	1	0	9	3	1	14	157	0
0.082	1	0	9	3	2	8	85	0
0.082	1	0	9	3	3	12	125	0
0.082	1	0	9	3	4	2	26	0
0.082	1	0	9	3	6	28	469	0
0.083	1	0	9	4	1	14	157	0
0.083	1	0	9	4	2	8	85	0
0.083	1	0	9	4	3	12	125	0
0.083	1	0	9	4	4	2	26	0
0.083	1	0	9	4	6	28	469	0
0.084	1	0	9	5	1	14	157	0
0.084	1	0	9	5	2	8	85	0
0.084	1	0	9	5	3	12	125	0
0.084	1	0	9	5	4	2	26	0
0.084	1	0	9	5	6	28	469	0
0.085	1	0	9	6	1	14	157	0
0.085	1	0	9	6	2	8	85	0
0.085	1	0	9	6	3	12	125	0
0.085	1	0	9	6	4	2	26	0
0.085	1	0	9	6	6	28	469	0
0.086	1	0	9	7	1	14	157	0
0.086	1	0	9	7	2	8	85	0
0.086	1	0	9	7	3	12	125	0
0.086	1	0	9	7	4	2	26	0
0.086	1	0	9	7	6	28	469	0
0.087	1	0	9	8	1	14	157	0
0.087	1	0	9	8	2	8	85	0
0.087	1	0	9	8	3	12	125	0
0.087	1	0	9	8	4	2	26	0
0.087	1	0	9	8	6	28	469	0
0.088	1	0	9	9	1	14	157	0
0.088	1	0	9	9	2	8	85	0
0.088	1	0	9	9	3	12	125	0
0.088	1	0	9	9	4	2	26	0
0.088	1	0	9	9	6	28	469	0
0.089	1	0	9	10	1	14	157	0
0.089	1	0	9	10	2	8	85	0
0.089	1	0	9	10	3	12	125	0
0.089	1	0	9	10	4	2	26	0
0.089	1	0	9	10	6	28	469	0
0.09	1	0	10	1	1	14	157	0
0.09	1	0	10	1	2	8	85	0
0.09	1	0	10	1	3	12	125	0
0.09	1	0	10	1	4	2	26	0
0.09	1	0	10	1	6	28	469	0
0.091	1	0	10	2	1	14	157	0
0.091	1	0	10	2	2	8	85	0
0.091	1	0	10	2	3	12	125	0
0.091	1	0	10	2	4	2	26	0
0.091	1	0	10	2	6	28	469	0
0.092	1	0	10	3	1	14	157	0
0.092	1	0	10	3	2	8	85	0
0.092	1	0	10	3	3	12	125	0
0.092	1	0	10	3	4	2	26	0
0.092	1	0	10	3	6	28	469	0
0.093	1	0	10	4	1	14	157	0
0.093	1	0	10	4	2	8	85	0
0.093	1	0	10	4	3	12	125	0
0.093	1	0	10	4	4	2	26	0
0.093	1	0	10	4	6	28	469	0
0.094	1	0	10	5	1	14	157	0
0.094	1	0	10	5	2	8	85	0
0.094	1	0	10	5	3	12	125	0
0.094	1	0	10	5	4	2	26	0
0.094	1	0	10	5	6	28	469	0
0.095	1	0	10	6	1	14	157	0
0.095	1	0	10	6	2	8	85	0
0.095	1	0	10	6	3	12	125	0
0.095	1	0	10	6	4	2	26	0
0.095	1	0	10	6	6	28	469	0
0.096	1	0	10	7	1	14	157	0
0.096	1	0	10	7	2	8	85	0
0.096	1	0	10	7	3	12	125	0
0.096	1	0	10	7	4	2	26	0
0.096	1	0	10	7	6	28	469	0
0.097	1	0	10	8	1	14	157	0
0.097	1	0	10	8	2	8	85	0
0.097	1	0	10	8	3	12	125	0
0.097	1	0	10	8	4	2	26	0
0.097	1	0	10	8	6	28	469	0
0.098	1	0	10	9	1	14	157	0
0.098	1	0	10	9	2	8	85	0
0.098	1	0	10	9	3	12	125	0
0.098	1	0	10	9	4	2	26	0
0.098	1	0	10	9	6	28	469	0
0.099	1	0	10	10	1	14	157	0
0.099	1	0	10	10	2	8	85	0
0.099	1	0	10	10	3	12	125	0
0.099	1	0	10	10	4	2	26	0
0.099	1	0	10	10	6	28	469	0
0.1	1	0	11	1	1	14	157	0
0.1	1	0	11	1	2	8	85	0
0.1	1	0	11	1	3	12	125	0
0.1	1	0	11	1	4	2	26	0
0.1	1	0	11	1	6	28	469	0
0.101	1	0	11	2	1	14	157	0
