% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.026	1	2	3	7	1	0	41	0
0.026	1	1	3	7	2	0	41	0
0.027	1	2	3	8	1	0	41	0
0.027	1	1	3	8	2	0	41	0
0.028	1	2	3	9	1	0	41	0
0.028	1	1	3	9	2	0	41	0
0.029	1	2	3	10	1	0	41	0
0.029	1	1	3	10	2	0	41	0
0.03	1	2	4	1	1	0	41	0
0.03	1	1	4	1	2	0	41	0
0.031	1	2	4	2	1	0	41	0
0.031	1	1	4	2	2	0	41	0
0.032	1	2	4	3	1	0	41	0
0.032	1	1	4	3	2	0	41	0
0.033	1	1	4	4	2	0	41	0
0.033	1	2	4	4	1	0	41	0
0.034	1	1	4	5	2	0	41	0
0.034	1	2	4	5	1	0	41	0
0.035	1	1	4	6	2	0	41	0
0.035	1	2	4	6	1	0	41	0
0.036	1	1	4	7	2	0	41	0
0.036	1	2	4	7	1	0	41	0
0.037	1	1	4	8	2	0	41	0
0.037	1	2	4	8	1	0	41	0
0.038	1	1	4	9	2	0	41	0
0.038	1	2	4	9	1	0	41	0
0.039	1	1	4	10	2	0	41	0
0.039	1	2	4	10	1	0	41	0
0.04	1	1	5	1	2	0	41	0
0.04	1	2	5	1	1	0	41	0
0.041	1	1	5	2	2	0	41	0
0.041	1	2	5	2	1	0	41	0
0.042	1	1	5	3	2	0	41	0
0.042	1	2	5	3	1	0	41	0
0.043	1	1	5	4	2	0	41	0
0.043	1	2	5	4	1	0	41	0
0.044	1	1	5	5	2	0	41	0
0.044	1	2	5	5	1	0	41	0
0.045	1	1	5	6	2	0	41	0
0.045	1	2	5	6	1	0	41	0
0.046	1	1	5	7	2	0	41	0
0.046	1	2	5	7	1	0	41	0
0.047	1	1	5	8	2	0	41	0
0.047	1	2	5	8	1	0	41	0
0.048	1	1	5	9	2	0	41	0
0.048	1	2	5	9	1	0	41	0
0.049	1	1	5	10	2	0	41	0
0.049	1	2	5	10	1	0	41	0
0.05	1	1	6	1	2	0	41	0
0.05	1	2	6	1	1	0	41	0
0.051	1	1	6	2	2	0	41	0
0.051	1	2	6	2	1	0	41	0
0.052	1	1	6	3	2	0	41	0
0.052	1	2	6	3	1	0	41	0
0.053	1	1	6	4	2	0	41	0
0.053	1	2	6	4	1	0	41	0
1.06	1	2	107	1	1	0	41	0
1.06	1	1	107	1	2	0	41	0
1.061	1	2	107	2	1	0	41	0
1.061	1	1	107	2	2	0	41	0
1.062	1	2	107	3	1	0	41	0
1.062	1	1	107	3	2	0	41	0
1.063	1	2	107	4	1	0	41	0
1.063	1	1	107	4	2	0	41	0
1.064	1	2	107	5	1	0	41	0
1.064	1	1	107	5	2	0	41	0
1.065	1	2	107	6	1	0	41	0
1.065	1	1	107	6	2	0	41	0
1.066	1	2	107	7	1	0	41	0
1.066	1	1	107	7	2	0	41	0
1.067	1	1	107	8	2	0	41	0
1.067	1	2	107	8	1	0	41	0
1.068	1	1	107	9	2	0	41	0
1.068	1	2	107	9	1	0	41	0
1.069	1	1	107	10	2	0	41	0
1.069	1	2	107	10	1	0	41	0
1.07	1	1	108	1	2	0	41	0
1.07	1	2	108	1	1	0	41	0
1.071	1	1	108	2	2	0	41	0
1.071	1	2	108	2	1	0	41	0
1.072	1	1	108	3	2	0	41	0
1.072	1	2	108	3	1	0	41	0
1.073	1	1	108	4	2	0	41	0
1.073	1	2	108	4	1	0	41	0
1.074	1	1	108	5	2	0	41	0
1.074	1	2	108	5	1	0	41	0
1.075	1	1	108	6	2	0	41	0
1.075	1	2	108	6	1	0	41	0
1.076	1	1	108	7	2	0	41	0
1.076	1	2	108	7	1	0	41	0
1.077	1	1	108	8	2	0	41	0
1.077	1	2	108	8	1	0	41	0
1.078	1	1	108	9	2	0	41	0
1.078	1	2	108	9	1	0	41	0
1.079	1	1	108	10	2	0	41	0
1.079	1	2	108	10	1	0	41	0
1.08	1	1	109	1	2	0	41	0
1.08	1	2	109	1	1	0	41	0
1.081	1	1	109	2	2	0	41	0
1.081	1	2	109	2	1	0	41	0
1.082	1	1	109	3	2	0	41	0
1.082	1	2	109	3	1	0	41	0
1.083	1	1	109	4	2	0	41	0
1.083	1	2	109	4	1	0	41	0
1.084	1	1	109	5	2	0	41	0
1.084	1	2	109	5	1	0	41	0
1.085	1	1	109	6	2	0	41	0
1.085	1	2	109	6	1	0	41	0
1.086	1	1	109	7	2	0	41	0
1.086	1	2	109	7	1	0	41	0
1.087	1	1	109	8	2	0	41	0
1.087	1	2	109	8	1	0	41	0
