% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.021	1	1	3	2	1	0	81	0	0	0
0.022	1	1	3	3	1	0	81	0	0	0
0.023	1	1	3	4	1	0	81	0	0	0
0.024	1	1	3	5	1	0	81	0	0	0
0.025	1	1	3	6	1	0	81	0	0	0
0.026	1	1	3	7	1	10	469	0	0	0
0.027	1	1	3	8	1	10	469	0	0	0
0.028	1	1	3	9	1	10	469	0	0	0
0.029	1	1	3	10	1	10	469	0	0	0
0.03	1	1	4	1	1	10	469	0	0	0
0.031	1	1	4	2	1	10	469	0	0	0
0.032	1	1	4	3	1	10	469	0	0	0
0.033	1	1	4	4	1	10	469	0	0	0
0.034	1	1	4	5	1	10	469	0	0	0
0.035	1	1	4	6	1	10	469	0	0	0
0.036	1	1	4	7	1	10	469	0	0	0
0.037	1	1	4	8	1	10	469	0	0	0
0.038	1	1	4	9	1	10	469	0	0	0
0.039	1	1	4	10	1	10	469	0	0	0
