% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.276	1	1	28	7	1	0	85	0
0.277	1	1	28	8	1	0	85	0
0.278	1	1	28	9	1	0	85	0
0.279	1	1	28	10	1	0	85	0
0.28	1	1	29	1	1	0	85	0
0.281	1	1	29	2	1	28	2292	0
0.282	1	1	29	3	1	28	2292	0
0.283	1	1	29	4	1	28	2292	0
0.284	1	1	29	5	1	28	2292	0
0.285	1	1	29	6	1	28	2292	0
0.286	1	1	29	7	1	28	2292	0
0.287	1	1	29	8	1	28	2292	0
0.288	1	1	29	9	1	28	2292	0
0.289	1	1	29	10	1	28	2292	0
0.29	1	1	30	1	1	28	2292	0
0.291	1	1	30	2	1	28	2292	0
0.292	1	1	30	3	1	28	2292	0
0.293	1	1	30	4	1	28	2292	0
0.294	1	1	30	5	1	28	2292	0
0.295	1	1	30	6	1	28	2292	0
0.296	1	1	30	7	1	28	2292	0
0.297	1	1	30	8	1	28	2292	0
0.298	1	1	30	9	1	28	2292	0
0.299	1	1	30	10	1	28	2292	0
0.3	1	1	31	1	1	28	2292	0
0.301	1	1	31	2	1	28	2292	0
0.302	1	1	31	3	1	28	2292	0
0.303	1	1	31	4	1	28	2292	0
0.304	1	1	31	5	1	28	2292	0
0.305	1	1	31	6	1	28	2292	0
0.306	1	1	31	7	1	28	2292	0
0.307	1	1	31	8	1	28	2292	0
0.308	1	1	31	9	1	28	2292	0
0.309	1	1	31	10	1	28	2292	0
0.31	1	1	32	1	1	28	2292	0
0.311	1	1	32	2	1	28	2292	0
0.312	1	1	32	3	1	28	2292	0
0.313	1	1	32	4	1	28	2292	0
0.314	1	1	32	5	1	28	2292	0
0.315	1	1	32	6	1	28	2292	0
0.316	1	1	32	7	1	28	2292	0
0.317	1	1	32	8	1	28	2292	0
0.318	1	1	32	9	1	28	2292	0
0.319	1	1	32	10	1	28	2292	0
0.32	1	1	33	1	1	28	2292	0
0.321	1	1	33	2	1	28	2292	0
0.322	1	1	33	3	1	28	2292	0
0.323	1	1	33	4	1	28	2292	0
0.324	1	1	33	5	1	28	2292	0
0.325	1	1	33	6	1	28	2292	0
0.326	1	1	33	7	1	28	2292	0
0.327	1	1	33	8	1	28	2292	0
0.328	1	1	33	9	1	28	2292	0
0.329	1	1	33	10	1	28	2292	0
0.33	1	1	34	1	1	28	2292	0
0.331	1	1	34	2	1	28	2292	0
0.332	1	1	34	3	1	28	2292	0
0.333	1	1	34	4	1	28	2292	0
0.334	1	1	34	5	1	28	2292	0
0.335	1	1	34	6	1	28	2292	0
0.336	1	1	34	7	1	28	2292	0
0.337	1	1	34	8	1	28	2292	0
0.338	1	1	34	9	1	28	2292	0
0.339	1	1	34	10	1	28	2292	0
0.34	1	1	35	1	1	28	2292	0
0.341	1	1	35	2	1	28	2292	0
0.342	1	1	35	3	1	28	2292	0
0.343	1	1	35	4	1	28	2292	0
0.344	1	1	35	5	1	28	2292	0
0.345	1	1	35	6	1	28	2292	0
0.346	1	1	35	7	1	28	2292	0
0.347	1	1	35	8	1	28	2292	0
0.348	1	1	35	9	1	28	2292	0
0.349	1	1	35	10	1	28	2292	0
0.35	1	1	36	1	1	28	2292	0
0.351	1	1	36	2	1	28	2292	0
0.352	1	1	36	3	1	28	2292	0
0.353	1	1	36	4	1	28	2292	0
0.354	1	1	36	5	1	28	2292	0
0.355	1	1	36	6	1	28	2292	0
0.356	1	1	36	7	1	28	2292	0
0.357	1	1	36	8	1	28	2292	0
0.358	1	1	36	9	1	28	2292	0
0.359	1	1	36	10	1	28	2292	0
0.36	1	1	37	1	1	28	2292	0
0.361	1	1	37	2	1	28	2292	0
0.362	1	1	37	3	1	28	2292	0
0.363	1	1	37	4	1	28	2292	0
0.364	1	1	37	5	1	28	2292	0
0.365	1	1	37	6	1	28	2292	0
0.366	1	1	37	7	1	28	2292	0
0.367	1	1	37	8	1	28	2292	0
0.368	1	1	37	9	1	28	2292	0
0.369	1	1	37	10	1	28	2292	0
0.37	1	1	38	1	1	28	2292	0
0.371	1	1	38	2	1	28	2292	0
0.372	1	1	38	3	1	28	2292	0
0.373	1	1	38	4	1	28	2292	0
0.374	1	1	38	5	1	28	2292	0
0.375	1	1	38	6	1	28	2292	0
0.376	1	1	38	7	1	28	2292	0
0.377	1	1	38	8	1	28	2292	0
0.378	1	1	38	9	1	28	2292	0
0.379	1	1	38	10	1	28	2292	0
0.38	1	1	39	1	1	28	2292	0
0.381	1	1	39	2	1	28	2292	0
0.382	1	1	39	3	1	28	2292	0
0.383	1	1	39	4	1	28	2292	0
0.384	1	1	39	5	1	28	2292	0
0.385	1	1	39	6	1	28	2292	0
0.386	1	1	39	7	1	28	2292	0
0.387	1	1	39	8	1	28	2292	0
0.388	1	1	39	9	1	28	2292	0
0.389	1	1	39	10	1	28	2292	0
0.39	1	1	40	1	1	28	2292	0
0.391	1	1	40	2	1	28	2292	0
0.392	1	1	40	3	1	28	2292	0
0.393	1	1	40	4	1	28	2292	0
0.394	1	1	40	5	1	28	2292	0
0.395	1	1	40	6	1	28	2292	0
0.396	1	1	40	7	1	28	2292	0
0.397	1	1	40	8	1	28	2292	0
0.398	1	1	40	9	1	28	2292	0
0.399	1	1	40	10	1	28	2292	0
0.4	1	1	41	1	1	28	2292	0
0.401	1	1	41	2	1	28	2292	0
0.402	1	1	41	3	1	28	2292	0
0.403	1	1	41	4	1	28	2292	0
0.404	1	1	41	5	1	28	2292	0
0.41	1	1	42	1	1	28	2292	0
